graph_idx,lp/model,lp_protocol,overlap/auc,overlap/num_eval_pairs,overlap/edge_presence_rate,lp/best_val_auc,lp/best_epoch,lp/best_num_layers,lp/best_hidden_dim,lp/best_dropout,lp/best_lr,lp/train_num_pos,lp/val_num_pos,lp/val_num_neg,lp/auc,lp/score_sp_gap,lp/score_sp_abs_gap,lp/sp_gap,lp/sp_abs_gap,lp/eo_gap,lp/eo_abs_gap,lp/score_mean_sensitive,lp/score_mean_nonsensitive,lp/hard_rate_sensitive,lp/hard_rate_nonsensitive,lp/num_eval_pairs
0.0,gcn,gae_val,0.499810534293293,10556.0,0.000757862813770771,0.6085849674236579,11.0,2.0,128.0,0.1,0.01,2563.0,641.0,641.0,0.4959039079330203,-0.0036467124380112903,0.0036467124380112903,-0.0005300641059875488,0.0005300641059875488,0.014748454093933105,0.014748454093933105,0.5226542310178226,0.5263009434558339,0.539668083190918,0.5401981472969055,10556.0
1.0,gcn,gae_val,0.5005683971201214,10556.0,0.000757862813770771,0.6184807760768956,15.0,2.0,128.0,0.1,0.01,2540.0,636.0,636.0,0.5013700007509705,0.0006534887714667592,0.0006534887714667592,-0.004773050546646118,0.004773050546646118,0.014979511499404907,0.014979511499404907,0.5047723479665499,0.5041188591950831,0.4923846423625946,0.4971576929092407,10556.0
2.0,gcn,gae_val,0.5003789314134142,10556.0,0.000757862813770771,0.6507289940828402,11.0,2.0,128.0,0.1,0.01,2600.0,650.0,650.0,0.4985192382717568,0.00354027631826459,0.00354027631826459,-0.004168093204498291,0.004168093204498291,-0.0015960931777954102,0.0015960931777954102,0.518697983351991,0.5151577070337264,0.5394408106803894,0.5436089038848877,10556.0
3.0,gcn,gae_val,0.4997158014399394,10556.0,0.0006631299620494246,0.6659955547365715,9.0,2.0,128.0,0.1,0.01,2648.0,663.0,663.0,0.49898435899206833,-0.00448261084024415,0.00448261084024415,-0.004625082015991211,0.004625082015991211,-0.003568708896636963,0.003568708896636963,0.5257914437551223,0.5302740545953665,0.5480791330337524,0.5527042150497437,10556.0
4.0,gcn,gae_val,0.4998105342932929,10556.0,0.0013262599240988493,0.5945532575944354,15.0,2.0,128.0,0.1,0.01,2706.0,677.0,677.0,0.4904179998308521,0.008005372886516482,0.008005372886516482,0.012239217758178711,0.012239217758178711,0.018045127391815186,0.018045127391815186,0.517519347631559,0.5095139747450426,0.5269379615783691,0.5146987438201904,10556.0
