graph_idx,lp/model,lp_protocol,overlap/auc,overlap/num_eval_pairs,overlap/edge_presence_rate,lp/best_val_auc,lp/best_epoch,lp/best_num_layers,lp/best_hidden_dim,lp/best_dropout,lp/best_lr,lp/train_num_pos,lp/val_num_pos,lp/test_num_pos,lp/test_num_neg,lp/test_num_pairs,lp/auc,lp/score_sp_gap,lp/score_sp_abs_gap,lp/sp_gap,lp/sp_abs_gap,lp/eo_gap,lp/eo_abs_gap,lp/score_mean_sensitive,lp/score_mean_nonsensitive,lp/hard_rate_sensitive,lp/hard_rate_nonsensitive,lp/num_eval_pairs,value/linkpred_auc,fair_gap,fair_abs_gap,value/fair_gap,value/fair_abs_gap
0.0,samplepy_gae_1layer,samplepy_gae,0.7380636604774535,10556.0,0.2382531315088272,0.8326679080924125,6.0,1.0,512.0,0.2,0.001,2855.0,356.0,358.0,358.0,716.0,0.8031623544833182,0.07096737623214722,0.07096737623214722,0.07096737623214722,0.07096737623214722,0.046434879302978516,0.046434879302978516,0.6081415414810181,0.5371741652488708,nan,nan,716.0,0.8031623544833182,0.07096737623214722,0.07096737623214722,0.07096737623214722,0.07096737623214722
1.0,samplepy_gae_1layer,samplepy_gae,0.7383478590375142,10556.0,0.23853732645511627,0.7877896256541832,28.0,1.0,512.0,0.2,0.01,2858.0,357.0,358.0,358.0,716.0,0.780453169376736,0.15142756700515747,0.15142756700515747,0.15142756700515747,0.15142756700515747,0.1256706714630127,0.1256706714630127,0.7401794791221619,0.5887519121170044,nan,nan,716.0,0.780453169376736,0.15142756700515747,0.15142756700515747,0.15142756700515747,0.15142756700515747
2.0,samplepy_gae_1layer,samplepy_gae,0.7335164835164836,10556.0,0.23351648449897766,0.8318252467968914,4.0,1.0,512.0,0.1,0.003,2760.0,345.0,345.0,345.0,690.0,0.8047973114891829,0.09817183017730713,0.09817183017730713,0.09817183017730713,0.09817183017730713,0.05838996171951294,0.05838996171951294,0.649791955947876,0.5516201257705688,nan,nan,690.0,0.8047973114891829,0.09817183017730713,0.09817183017730713,0.09817183017730713,0.09817183017730713
3.0,samplepy_gae_1layer,samplepy_gae,0.7333270178097764,10556.0,0.2333270162343979,0.8013686684550159,27.0,1.0,512.0,0.1,0.01,2778.0,347.0,348.0,348.0,696.0,0.819584819659136,0.16857212781906128,0.16857212781906128,0.16857212781906128,0.16857212781906128,0.11784958839416504,0.11784958839416504,0.7451411485671997,0.5765690207481384,nan,nan,696.0,0.819584819659136,0.16857212781906128,0.16857212781906128,0.16857212781906128,0.16857212781906128
4.0,samplepy_gae_1layer,samplepy_gae,0.7374005305039788,10556.0,0.2375900000333786,0.812130612244898,7.0,1.0,512.0,0.1,0.001,2800.0,350.0,351.0,351.0,702.0,0.8053343722859392,0.07981479167938232,0.07981479167938232,0.07981479167938232,0.07981479167938232,0.053289711475372314,0.053289711475372314,0.6130635142326355,0.5332487225532532,nan,nan,702.0,0.8053343722859392,0.07981479167938232,0.07981479167938232,0.07981479167938232,0.07981479167938232
5.0,samplepy_gae_1layer,samplepy_gae,0.7351269420234937,10556.0,0.23512694239616394,0.815010239133307,47.0,1.0,128.0,0.1,0.001,2788.0,348.0,349.0,349.0,698.0,0.7772021576177535,0.18811249732971191,0.18811249732971191,0.18811249732971191,0.18811249732971191,0.1399363875389099,0.1399363875389099,0.7332757115364075,0.5451632142066956,nan,nan,698.0,0.7772021576177535,0.18811249732971191,0.18811249732971191,0.18811249732971191,0.18811249732971191
6.0,samplepy_gae_1layer,samplepy_gae,0.7357900719969684,10556.0,0.23635846376419067,0.8211012897622583,8.0,1.0,512.0,0.1,0.001,2808.0,351.0,352.0,352.0,704.0,0.7878841683884297,0.09317272901535034,0.09317272901535034,0.09317272901535034,0.09317272901535034,0.06588184833526611,0.06588184833526611,0.6238206624984741,0.5306479334831238,nan,nan,704.0,0.7878841683884297,0.09317272901535034,0.09317272901535034,0.09317272901535034,0.09317272901535034
7.0,samplepy_gae_1layer,samplepy_gae,0.7396741189844639,10556.0,0.24024251103401184,0.8415678444168473,6.0,1.0,512.0,0.1,0.001,2811.0,351.0,352.0,352.0,704.0,0.7958015883264462,0.05525487661361694,0.05525487661361694,0.05525487661361694,0.05525487661361694,0.02198028564453125,0.02198028564453125,0.5971056818962097,0.5418508052825928,nan,nan,704.0,0.7958015883264462,0.05525487661361694,0.05525487661361694,0.05525487661361694,0.05525487661361694
8.0,samplepy_gae_1layer,samplepy_gae,0.7391057218643425,10556.0,0.23929518461227417,0.8028916018751899,13.0,1.0,512.0,0.2,0.003,2799.0,349.0,351.0,351.0,702.0,0.782185209535637,0.20887500047683716,0.20887500047683716,0.20887500047683716,0.20887500047683716,0.1648738980293274,0.1648738980293274,0.7660737037658691,0.557198703289032,nan,nan,702.0,0.782185209535637,0.20887500047683716,0.20887500047683716,0.20887500047683716,0.20887500047683716
9.0,samplepy_gae_1layer,samplepy_gae,0.7431792345585448,10556.0,0.244126558303833,0.8115689306905693,3.0,1.0,512.0,0.0,0.003,2848.0,356.0,356.0,356.0,712.0,0.8100224087867693,0.08259040117263794,0.08259040117263794,0.08259040117263794,0.08259040117263794,0.054688334465026855,0.054688334465026855,0.6257291436195374,0.5431387424468994,nan,nan,712.0,0.8100224087867693,0.08259040117263794,0.08259040117263794,0.08259040117263794,0.08259040117263794
10.0,samplepy_gae_1layer,samplepy_gae,0.7356953391436151,10556.0,0.2360742688179016,0.8163831127914305,36.0,1.0,512.0,0.2,0.001,2764.0,345.0,347.0,347.0,694.0,0.816267886951972,0.18342947959899902,0.18342947959899902,0.18342947959899902,0.18342947959899902,0.12734001874923706,0.12734001874923706,0.7251937985420227,0.5417643189430237,nan,nan,694.0,0.816267886951972,0.18342947959899902,0.18342947959899902,0.18342947959899902,0.18342947959899902
11.0,samplepy_gae_1layer,samplepy_gae,0.7374952633573323,10556.0,0.2376847267150879,0.8088163265306122,28.0,1.0,512.0,0.0,0.01,2800.0,350.0,350.0,350.0,700.0,0.7652326530612246,0.14912664890289307,0.14912664890289307,0.14912664890289307,0.14912664890289307,0.11098390817642212,0.11098390817642212,0.7335509061813354,0.5844242572784424,nan,nan,700.0,0.7652326530612246,0.14912664890289307,0.14912664890289307,0.14912664890289307,0.14912664890289307
12.0,samplepy_gae_1layer,samplepy_gae,0.7405267146646458,10556.0,0.24071617424488068,0.8037600944811516,34.0,1.0,512.0,0.1,0.01,2838.0,354.0,356.0,356.0,712.0,0.803355005681101,0.18931716680526733,0.18931716680526733,0.18931716680526733,0.18931716680526733,0.14697134494781494,0.14697134494781494,0.7436428666114807,0.5543256998062134,nan,nan,712.0,0.803355005681101,0.18931716680526733,0.18931716680526733,0.18931716680526733,0.18931716680526733
13.0,samplepy_gae_1layer,samplepy_gae,0.7414740431981812,10556.0,0.24166351556777954,0.8258781356445092,8.0,1.0,512.0,0.0,0.001,2873.0,359.0,360.0,360.0,720.0,0.7916975308641976,0.08569377660751343,0.08569377660751343,0.08569377660751343,0.08569377660751343,0.06252384185791016,0.06252384185791016,0.6178118586540222,0.5321180820465088,nan,nan,720.0,0.7916975308641976,0.08569377660751343,0.08569377660751343,0.08569377660751343,0.08569377660751343
14.0,samplepy_gae_1layer,samplepy_gae,0.734463812050019,10556.0,0.23484274744987488,0.8016138193725149,27.0,1.0,512.0,0.2,0.001,2772.0,346.0,347.0,347.0,694.0,0.8219983556046476,0.19446903467178345,0.19446903467178345,0.19446903467178345,0.19446903467178345,0.1377195119857788,0.1377195119857788,0.7399720549583435,0.5455030202865601,nan,nan,694.0,0.8219983556046476,0.19446903467178345,0.19446903467178345,0.19446903467178345,0.19446903467178345
15.0,samplepy_gae_1layer,samplepy_gae,0.7350322091701402,10556.0,0.235411137342453,0.7957487922705314,11.0,1.0,512.0,0.1,0.003,2761.0,345.0,346.0,346.0,692.0,0.8174596545156869,0.21166741847991943,0.21166741847991943,0.21166741847991943,0.21166741847991943,0.1597694754600525,0.1597694754600525,0.7654128074645996,0.5537453889846802,nan,nan,692.0,0.8174596545156869,0.21166741847991943,0.21166741847991943,0.21166741847991943,0.21166741847991943
16.0,samplepy_gae_1layer,samplepy_gae,0.7425161045850701,10556.0,0.24289503693580627,0.7880370264042023,20.0,1.0,512.0,0.1,0.01,2876.0,359.0,361.0,361.0,722.0,0.7672669792282134,0.1272532343864441,0.1272532343864441,0.1272532343864441,0.1272532343864441,0.09579741954803467,0.09579741954803467,0.7348144054412842,0.6075611710548401,nan,nan,722.0,0.7672669792282134,0.1272532343864441,0.1272532343864441,0.1272532343864441,0.1272532343864441
17.0,samplepy_gae_1layer,samplepy_gae,0.737779461917393,10556.0,0.23853732645511627,0.82617548295991,35.0,1.0,512.0,0.0,0.01,2796.0,349.0,350.0,350.0,700.0,0.7784979591836735,0.18193960189819336,0.18193960189819336,0.18193960189819336,0.18193960189819336,0.14879226684570312,0.14879226684570312,0.7424066066741943,0.560467004776001,nan,nan,700.0,0.7784979591836735,0.18193960189819336,0.18193960189819336,0.18193960189819336,0.18193960189819336
18.0,samplepy_gae_1layer,samplepy_gae,0.7365479348237969,10556.0,0.23673740029335022,0.8092071280991735,3.0,1.0,512.0,0.0,0.003,2816.0,352.0,352.0,352.0,704.0,0.818657993285124,0.0930018424987793,0.0930018424987793,0.0930018424987793,0.0930018424987793,0.05686098337173462,0.05686098337173462,0.6306189298629761,0.5376170873641968,nan,nan,704.0,0.818657993285124,0.0930018424987793,0.0930018424987793,0.0930018424987793,0.0930018424987793
19.0,samplepy_gae_1layer,samplepy_gae,0.7425161045850702,10556.0,0.2427055686712265,0.805824706476455,21.0,1.0,512.0,0.0,0.01,2855.0,356.0,358.0,358.0,716.0,0.7784869386099061,0.1479817032814026,0.1479817032814026,0.1479817032814026,0.1479817032814026,0.114096999168396,0.114096999168396,0.7221052646636963,0.5741235613822937,nan,nan,716.0,0.7784869386099061,0.1479817032814026,0.1479817032814026,0.1479817032814026,0.1479817032814026
20.0,samplepy_gae_1layer,samplepy_gae,0.7368321333838576,10556.0,0.23721106350421906,0.8192388653145779,7.0,1.0,512.0,0.2,0.001,2775.0,346.0,348.0,348.0,696.0,0.8179250891795482,0.08965444564819336,0.08965444564819336,0.08965444564819336,0.08965444564819336,0.05025947093963623,0.05025947093963623,0.621622622013092,0.5319681763648987,nan,nan,696.0,0.8179250891795482,0.08965444564819336,0.08965444564819336,0.08965444564819336,0.08965444564819336
21.0,samplepy_gae_1layer,samplepy_gae,0.7439370973853733,10556.0,0.24393709003925323,0.8170356876309096,24.0,1.0,128.0,0.2,0.01,2824.0,353.0,354.0,354.0,708.0,0.8283698809409813,0.20121562480926514,0.20121562480926514,0.20121562480926514,0.20121562480926514,0.11710643768310547,0.11710643768310547,0.7610129714012146,0.5597973465919495,nan,nan,708.0,0.8283698809409813,0.20121562480926514,0.20121562480926514,0.20121562480926514,0.20121562480926514
22.0,samplepy_gae_1layer,samplepy_gae,0.736737400530504,10556.0,0.23711633682250977,0.8252788412826284,11.0,1.0,512.0,0.1,0.003,2776.0,347.0,348.0,348.0,696.0,0.7957540626238605,0.22361886501312256,0.22361886501312256,0.22361886501312256,0.22361886501312256,0.18310099840164185,0.18310099840164185,0.7585009932518005,0.534882128238678,nan,nan,696.0,0.7957540626238605,0.22361886501312256,0.22361886501312256,0.22361886501312256,0.22361886501312256
23.0,samplepy_gae_1layer,samplepy_gae,0.7304850322091702,10556.0,0.23067450523376465,0.8315397923875432,8.0,1.0,512.0,0.0,0.001,2721.0,340.0,341.0,341.0,682.0,0.7747181396788814,0.09061896800994873,0.09061896800994873,0.09061896800994873,0.09061896800994873,0.05879706144332886,0.05879706144332886,0.6114977598190308,0.520878791809082,nan,nan,682.0,0.7747181396788814,0.09061896800994873,0.09061896800994873,0.09061896800994873,0.09061896800994873
24.0,samplepy_gae_1layer,samplepy_gae,0.7360742705570292,10556.0,0.23645320534706116,0.8093765472682852,4.0,1.0,512.0,0.1,0.003,2815.0,351.0,353.0,353.0,706.0,0.8062820502531921,0.12323373556137085,0.12323373556137085,0.12323373556137085,0.12323373556137085,0.09757459163665771,0.09757459163665771,0.6632482409477234,0.5400145053863525,nan,nan,706.0,0.8062820502531921,0.12323373556137085,0.12323373556137085,0.12323373556137085,0.12323373556137085
25.0,samplepy_gae_1layer,samplepy_gae,0.7393899204244032,10556.0,0.23957937955856323,0.8241557951084145,3.0,1.0,512.0,0.1,0.003,2795.0,349.0,350.0,350.0,700.0,0.8031102040816327,0.07668596506118774,0.07668596506118774,0.07668596506118774,0.07668596506118774,0.0379294753074646,0.0379294753074646,0.6219584345817566,0.5452724695205688,nan,nan,700.0,0.8031102040816327,0.07668596506118774,0.07668596506118774,0.07668596506118774,0.07668596506118774
26.0,samplepy_gae_1layer,samplepy_gae,0.7404319818112921,10556.0,0.2404319792985916,0.8169712035123967,1.0,1.0,512.0,0.1,0.001,2820.0,352.0,353.0,353.0,706.0,0.7970933078670079,0.02810084819793701,0.02810084819793701,0.02810084819793701,0.02810084819793701,0.018749713897705078,0.018749713897705078,0.5534155964851379,0.5253147482872009,nan,nan,706.0,0.7970933078670079,0.02810084819793701,0.02810084819793701,0.02810084819793701,0.02810084819793701
27.0,samplepy_gae_1layer,samplepy_gae,0.7431792345585448,10556.0,0.24317923188209534,0.7973523729018234,10.0,1.0,128.0,0.2,0.01,2912.0,364.0,365.0,365.0,730.0,0.8025445674610621,0.10969316959381104,0.10969316959381104,0.10969316959381104,0.10969316959381104,0.04908090829849243,0.04908090829849243,0.7072722315788269,0.5975790619850159,nan,nan,730.0,0.8025445674610621,0.10969316959381104,0.10969316959381104,0.10969316959381104,0.10969316959381104
28.0,samplepy_gae_1layer,samplepy_gae,0.7388215233042819,10556.0,0.23882152140140533,0.8164339874926292,28.0,1.0,512.0,0.1,0.01,2783.0,347.0,349.0,349.0,698.0,0.7873088069884483,0.1506924033164978,0.1506924033164978,0.1506924033164978,0.1506924033164978,0.0893787145614624,0.0893787145614624,0.7384116053581238,0.587719202041626,nan,nan,698.0,0.7873088069884483,0.1506924033164978,0.1506924033164978,0.1506924033164978,0.1506924033164978
29.0,samplepy_gae_1layer,samplepy_gae,0.7371163319439181,10556.0,0.23730580508708954,0.8147755102040817,9.0,1.0,512.0,0.1,0.001,2803.0,350.0,351.0,351.0,702.0,0.7803832761097718,0.11667883396148682,0.11667883396148682,0.11667883396148682,0.11667883396148682,0.09846556186676025,0.09846556186676025,0.6431766748428345,0.5264978408813477,nan,nan,702.0,0.7803832761097718,0.11667883396148682,0.11667883396148682,0.11667883396148682,0.11667883396148682
