graph_idx,lp/model,lp_protocol,overlap/auc,overlap/num_eval_pairs,overlap/edge_presence_rate,lp/best_val_auc,lp/best_epoch,lp/best_num_layers,lp/best_hidden_dim,lp/best_dropout,lp/best_lr,lp/train_num_pos,lp/val_num_pos,lp/test_num_pos,lp/test_num_neg,lp/test_num_pairs,lp/auc,lp/score_sp_gap,lp/score_sp_abs_gap,lp/sp_gap,lp/sp_abs_gap,lp/eo_gap,lp/eo_abs_gap,lp/score_mean_sensitive,lp/score_mean_nonsensitive,lp/hard_rate_sensitive,lp/hard_rate_nonsensitive,lp/num_eval_pairs,value/linkpred_auc,fair_gap,fair_abs_gap,value/fair_gap,value/fair_abs_gap
0.0,samplepy_gae_1layer,samplepy_gae,0.9251610458507009,10556.0,0.42535051703453064,0.8707584620348159,13.0,1.0,512.0,0.0,0.003,4276.0,534.0,535.0,535.0,1070.0,0.8850484758494193,0.3023611307144165,0.3023611307144165,0.3023611307144165,0.3023611307144165,0.18581026792526245,0.18581026792526245,0.8151015639305115,0.512740433216095,nan,nan,1070.0,0.8850484758494193,0.3023611307144165,0.3023611307144165,0.3023611307144165,0.3023611307144165
1.0,samplepy_gae_1layer,samplepy_gae,0.9229821902235695,10556.0,0.42317166924476624,0.8863032359577456,36.0,1.0,512.0,0.0,0.01,4264.0,533.0,533.0,533.0,1066.0,0.8274202802642835,0.2594339847564697,0.2594339847564697,0.2594339847564697,0.2594339847564697,0.2273654341697693,0.2273654341697693,0.7907344698905945,0.5313004851341248,nan,nan,1066.0,0.8274202802642835,0.2594339847564697,0.2594339847564697,0.2594339847564697,0.2594339847564697
2.0,samplepy_gae_1layer,samplepy_gae,0.9198560060629026,10556.0,0.4198560118675232,0.8807819908691887,1.0,1.0,512.0,0.2,0.003,4181.0,522.0,524.0,524.0,1048.0,0.8343373055183265,0.06979149580001831,0.06979149580001831,0.06979149580001831,0.06979149580001831,0.06694728136062622,0.06694728136062622,0.5934211015701294,0.5236296057701111,nan,nan,1048.0,0.8343373055183265,0.06979149580001831,0.06979149580001831,0.06979149580001831,0.06979149580001831
3.0,samplepy_gae_1layer,samplepy_gae,0.9188139446760136,10556.0,0.41881394386291504,0.8727447546695233,14.0,1.0,512.0,0.2,0.003,4187.0,523.0,524.0,524.0,1048.0,0.8674101159606084,0.28581249713897705,0.28581249713897705,0.28581249713897705,0.28581249713897705,0.20858138799667358,0.20858138799667358,0.8085435032844543,0.5227310061454773,nan,nan,1048.0,0.8674101159606084,0.28581249713897705,0.28581249713897705,0.28581249713897705,0.28581249713897705
4.0,samplepy_gae_1layer,samplepy_gae,0.9222243273967413,10556.0,0.42241379618644714,0.8714669866558719,6.0,1.0,512.0,0.0,0.001,4208.0,526.0,526.0,526.0,1052.0,0.8638804955977388,0.12215679883956909,0.12215679883956909,0.12215679883956909,0.12215679883956909,0.08386152982711792,0.08386152982711792,0.6482897996902466,0.5261330008506775,nan,nan,1052.0,0.8638804955977388,0.12215679883956909,0.12215679883956909,0.12215679883956909,0.12215679883956909
5.0,samplepy_gae_1layer,samplepy_gae,0.9230769230769231,10556.0,0.42307692766189575,0.8698689613030257,28.0,1.0,512.0,0.2,0.01,4233.0,529.0,530.0,530.0,1060.0,0.8696440014239942,0.22926628589630127,0.22926628589630127,0.22926628589630127,0.22926628589630127,0.16566896438598633,0.16566896438598633,0.7905866503715515,0.5613203644752502,nan,nan,1060.0,0.8696440014239942,0.22926628589630127,0.22926628589630127,0.22926628589630127,0.22926628589630127
6.0,samplepy_gae_1layer,samplepy_gae,0.9182455475558923,10556.0,0.41881394386291504,0.8758511761049026,33.0,1.0,512.0,0.0,0.01,4213.0,526.0,528.0,528.0,1056.0,0.8763953455004592,0.2575790286064148,0.2575790286064148,0.2575790286064148,0.2575790286064148,0.19893914461135864,0.19893914461135864,0.8011550903320312,0.5435760617256165,nan,nan,1056.0,0.8763953455004592,0.2575790286064148,0.2575790286064148,0.2575790286064148,0.2575790286064148
7.0,samplepy_gae_1layer,samplepy_gae,0.9262978400909436,10556.0,0.42686623334884644,0.8836917052331792,6.0,1.0,512.0,0.2,0.001,4240.0,530.0,530.0,530.0,1060.0,0.8365752936988251,0.12245714664459229,0.12245714664459229,0.12245714664459229,0.12245714664459229,0.10799890756607056,0.10799890756607056,0.6469885110855103,0.524531364440918,nan,nan,1060.0,0.8365752936988251,0.12245714664459229,0.12245714664459229,0.12245714664459229,0.12245714664459229
8.0,samplepy_gae_1layer,samplepy_gae,0.9246873815839333,10556.0,0.4248768389225006,0.8635648419862527,29.0,1.0,512.0,0.0,0.01,4220.0,527.0,528.0,528.0,1056.0,0.8717250631313131,0.24793320894241333,0.24793320894241333,0.24793320894241333,0.24793320894241333,0.18200713396072388,0.18200713396072388,0.8040805459022522,0.5561473369598389,nan,nan,1056.0,0.8717250631313131,0.24793320894241333,0.24793320894241333,0.24793320894241333,0.24793320894241333
9.0,samplepy_gae_1layer,samplepy_gae,0.9208980674497915,10556.0,0.42165592312812805,0.8771990929705216,35.0,1.0,512.0,0.2,0.01,4202.0,525.0,526.0,526.0,1052.0,0.8649539533606094,0.26417458057403564,0.26417458057403564,0.26417458057403564,0.26417458057403564,0.19945889711380005,0.19945889711380005,0.7974062561988831,0.5332316756248474,nan,nan,1052.0,0.8649539533606094,0.26417458057403564,0.26417458057403564,0.26417458057403564,0.26417458057403564
10.0,samplepy_gae_1layer,samplepy_gae,0.9247821144372869,10556.0,0.4251610338687897,0.8795124540863177,38.0,1.0,512.0,0.1,0.01,4227.0,528.0,529.0,529.0,1058.0,0.8862997201982554,0.2601392865180969,0.2601392865180969,0.2601392865180969,0.2601392865180969,0.1808893084526062,0.1808893084526062,0.8003337383270264,0.5401944518089294,nan,nan,1058.0,0.8862997201982554,0.2601392865180969,0.2601392865180969,0.2601392865180969,0.2601392865180969
11.0,samplepy_gae_1layer,samplepy_gae,0.9235505873436907,10556.0,0.42374005913734436,0.8928784559803602,51.0,1.0,512.0,0.0,0.01,4232.0,529.0,530.0,530.0,1060.0,0.8587789248843005,0.2895095944404602,0.2895095944404602,0.2895095944404602,0.2895095944404602,0.2583531141281128,0.2583531141281128,0.7900926470756531,0.5005830526351929,nan,nan,1060.0,0.8587789248843005,0.2895095944404602,0.2895095944404602,0.2895095944404602,0.2895095944404602
12.0,samplepy_gae_1layer,samplepy_gae,0.9236453201970443,10556.0,0.4236453175544739,0.8763845844811754,41.0,1.0,512.0,0.1,0.01,4228.0,528.0,530.0,530.0,1060.0,0.8587718049127804,0.2663429379463196,0.2663429379463196,0.2663429379463196,0.2663429379463196,0.210038423538208,0.210038423538208,0.7835049033164978,0.5171619653701782,nan,nan,1060.0,0.8587718049127804,0.2663429379463196,0.2663429379463196,0.2663429379463196,0.2663429379463196
13.0,samplepy_gae_1layer,samplepy_gae,0.9237400530503979,10556.0,0.42374005913734436,0.8887824911955908,12.0,1.0,512.0,0.1,0.003,4252.0,531.0,532.0,532.0,1064.0,0.8588776923511787,0.308056116104126,0.308056116104126,0.308056116104126,0.308056116104126,0.2375955581665039,0.2375955581665039,0.8180134296417236,0.5099573135375977,nan,nan,1064.0,0.8588776923511787,0.308056116104126,0.308056116104126,0.308056116104126,0.308056116104126
14.0,samplepy_gae_1layer,samplepy_gae,0.9217506631299736,10556.0,0.4221296012401581,0.8496880052137156,28.0,1.0,512.0,0.1,0.01,4217.0,527.0,528.0,528.0,1056.0,0.863661472681359,0.23420405387878418,0.23420405387878418,0.23420405387878418,0.23420405387878418,0.18665623664855957,0.18665623664855957,0.7888838052749634,0.5546797513961792,nan,nan,1056.0,0.863661472681359,0.23420405387878418,0.23420405387878418,0.23420405387878418,0.23420405387878418
