graph_idx,lp/model,lp_protocol,overlap/auc,overlap/num_eval_pairs,overlap/edge_presence_rate,lp/best_val_auc,lp/best_train_loss,lp/best_epoch,lp/best_num_layers,lp/best_hidden_dim,lp/best_dropout,lp/best_lr,lp/train_num_pos,lp/test_num_pos,lp/test_num_neg,lp/auc,lp/score_sp_gap,lp/score_sp_abs_gap,lp/sp_gap,lp/sp_abs_gap,lp/eo_gap,lp/eo_abs_gap,lp/score_mean_sensitive,lp/score_mean_nonsensitive,lp/hard_rate_sensitive,lp/hard_rate_nonsensitive,lp/num_eval_pairs,value/linkpred_auc,fair_gap,fair_abs_gap,value/fair_gap,value/fair_abs_gap
0.0,gcn,gae_train_test,0.499810534293293,10556.0,0.000757862813770771,nan,0.3784702718257904,175.0,2.0,128.0,0.1,0.01,3626.0,907.0,907.0,0.6250940559096285,0.11008382289429941,0.11008382289429941,0.24672630429267883,0.24672630429267883,0.2207757532596588,0.2207757532596588,0.5982288123090186,0.4881449894147192,0.6825980544090271,0.43587175011634827,1814.0,0.499810534293293,0.11008382289429941,0.11008382289429941,0.11008382289429941,0.11008382289429941
1.0,gcn,gae_train_test,0.5004736642667678,10556.0,0.0010420613689348102,nan,0.37678518891334534,245.0,2.0,128.0,0.1,0.01,3529.0,883.0,883.0,0.6394729180480936,0.11767753939046105,0.11767753939046105,0.22255226969718933,0.22255226969718933,0.23972874879837036,0.23972874879837036,0.604163289765761,0.4864857503752999,0.6584766507148743,0.43592438101768494,1766.0,0.5004736642667678,0.11767753939046105,0.11767753939046105,0.11767753939046105,0.11767753939046105
2.0,gcn,gae_train_test,0.5005683971201212,10556.0,0.0013262599240988493,nan,0.3821324110031128,107.0,2.0,128.0,0.1,0.01,3654.0,914.0,914.0,0.6717107814736962,0.1763005085748513,0.1763005085748513,0.32299673557281494,0.32299673557281494,0.3262656033039093,0.3262656033039093,0.6558103761753115,0.47950986760046016,0.7430972456932068,0.42010051012039185,1828.0,0.5005683971201212,0.1763005085748513,0.1763005085748513,0.1763005085748513,0.1763005085748513
3.0,gcn,gae_train_test,0.49971580143993943,10556.0,0.001231527072377503,nan,0.3835935890674591,173.0,2.0,128.0,0.1,0.01,3830.0,958.0,958.0,0.7016389834423664,0.16631549618853758,0.16631549618853758,0.3241506516933441,0.3241506516933441,0.2939325273036957,0.2939325273036957,0.650834674944741,0.48451917875620343,0.7601432204246521,0.435992568731308,1916.0,0.49971580143993943,0.16631549618853758,0.16631549618853758,0.16631549618853758,0.16631549618853758
4.0,gcn,gae_train_test,0.49962106858658584,10556.0,0.0018946570344269276,nan,0.3895561695098877,157.0,2.0,128.0,0.1,0.01,3679.0,920.0,920.0,0.6916599716446125,0.16231732481538885,0.16231732481538885,0.34289631247520447,0.34289631247520447,0.3231588304042816,0.3231588304042816,0.6408873234886721,0.4785699986732832,0.7518072128295898,0.4089109003543854,1840.0,0.49962106858658584,0.16231732481538885,0.16231732481538885,0.16231732481538885,0.16231732481538885
5.0,gcn,gae_train_test,0.5,10556.0,0.0009473285172134638,nan,0.3814466595649719,180.0,2.0,128.0,0.1,0.01,3708.0,927.0,927.0,0.6438628278575493,0.11181892337522464,0.11181892337522464,0.21518146991729736,0.21518146991729736,0.23157668113708496,0.23157668113708496,0.6078518959924561,0.4960329726172315,0.6782007217407227,0.4630192518234253,1854.0,0.5,0.11181892337522464,0.11181892337522464,0.11181892337522464,0.11181892337522464
6.0,gcn,gae_train_test,0.5002841985600606,10556.0,0.0019893900025635958,nan,0.38081812858581543,263.0,2.0,128.0,0.1,0.01,3981.0,996.0,996.0,0.6562888098579055,0.154113147626747,0.154113147626747,0.29042020440101624,0.29042020440101624,0.29557448625564575,0.29557448625564575,0.6390768891787451,0.48496374155199806,0.7164667248725891,0.4260465204715729,1992.0,0.5002841985600606,0.154113147626747,0.154113147626747,0.154113147626747,0.154113147626747
7.0,gcn,gae_train_test,0.5004736642667678,10556.0,0.0010420613689348102,nan,0.3816412091255188,180.0,2.0,128.0,0.1,0.01,3673.0,919.0,919.0,0.6820928269242837,0.15233752308426296,0.15233752308426296,0.2936124801635742,0.2936124801635742,0.23873919248580933,0.23873919248580933,0.6331190547486495,0.48078153166438653,0.7157894968986511,0.4221770167350769,1838.0,0.5004736642667678,0.15233752308426296,0.15233752308426296,0.15233752308426296,0.15233752308426296
8.0,gcn,gae_train_test,0.5005683971201212,10556.0,0.0013262599240988493,nan,0.39511117339134216,92.0,2.0,128.0,0.1,0.01,3585.0,897.0,897.0,0.7161602716350426,0.1939496256787429,0.1939496256787429,0.34800320863723755,0.34800320863723755,0.32499077916145325,0.32499077916145325,0.6783705594574834,0.48442093377874046,0.7761377692222595,0.428134560585022,1794.0,0.5005683971201212,0.1939496256787429,0.1939496256787429,0.1939496256787429,0.1939496256787429
9.0,gcn,gae_train_test,0.4997158014399394,10556.0,0.0010420613689348102,nan,0.3886287808418274,174.0,2.0,128.0,0.1,0.01,3599.0,900.0,900.0,0.6594666666666666,0.14274419313715225,0.14274419313715225,0.27518147230148315,0.27518147230148315,0.28395846486091614,0.28395846486091614,0.6292063821043287,0.4864621889671764,0.7108571529388428,0.4356756806373596,1800.0,0.4997158014399394,0.14274419313715225,0.14274419313715225,0.14274419313715225,0.14274419313715225
