graph_idx,lp/model,lp_protocol,overlap/auc,overlap/num_eval_pairs,overlap/edge_presence_rate,lp/best_val_auc,lp/best_epoch,lp/best_num_layers,lp/best_hidden_dim,lp/best_dropout,lp/best_lr,lp/train_num_pos,lp/val_num_pos,lp/test_num_pos,lp/test_num_neg,lp/test_num_pairs,lp/auc,lp/score_sp_gap,lp/score_sp_abs_gap,lp/sp_gap,lp/sp_abs_gap,lp/eo_gap,lp/eo_abs_gap,lp/score_mean_sensitive,lp/score_mean_nonsensitive,lp/hard_rate_sensitive,lp/hard_rate_nonsensitive,lp/num_eval_pairs,value/linkpred_auc,fair_gap,fair_abs_gap,value/fair_gap,value/fair_abs_gap
0.0,samplepy_gae_1layer,samplepy_gae,0.924971580143994,10556.0,0.4251610338687897,0.8730975325786587,36.0,1.0,512.0,0.2,0.01,4272.0,534.0,535.0,535.0,1070.0,0.8826936850379945,0.25061506032943726,0.25061506032943726,0.25061506032943726,0.25061506032943726,0.17999529838562012,0.17999529838562012,0.7853779196739197,0.5347628593444824,nan,nan,1070.0,0.8826936850379945,0.25061506032943726,0.25061506032943726,0.25061506032943726,0.25061506032943726
1.0,samplepy_gae_1layer,samplepy_gae,0.922697991663509,10556.0,0.4228874444961548,0.8334063542314432,25.0,1.0,512.0,0.2,0.01,4260.0,532.0,534.0,534.0,1068.0,0.8650878817208826,0.22472018003463745,0.22472018003463745,0.22472018003463745,0.22472018003463745,0.1574675440788269,0.1574675440788269,0.7994764447212219,0.5747562646865845,nan,nan,1068.0,0.8650878817208826,0.22472018003463745,0.22472018003463745,0.22472018003463745,0.22472018003463745
2.0,samplepy_gae_1layer,samplepy_gae,0.9191928760894278,10556.0,0.4191928803920746,0.873851039452404,4.0,1.0,512.0,0.1,0.003,4174.0,521.0,523.0,523.0,1046.0,0.8379641646772372,0.18553966283798218,0.18553966283798218,0.18553966283798218,0.18553966283798218,0.14443153142929077,0.14443153142929077,0.7161088585853577,0.5305691957473755,nan,nan,1046.0,0.8379641646772372,0.18553966283798218,0.18553966283798218,0.18553966283798218,0.18553966283798218
3.0,samplepy_gae_1layer,samplepy_gae,0.9186244789693065,10556.0,0.41862449049949646,0.8580918293855496,53.0,1.0,128.0,0.1,0.03,4185.0,523.0,524.0,524.0,1048.0,0.8649153604102326,0.2488490343093872,0.2488490343093872,0.2488490343093872,0.2488490343093872,0.17525166273117065,0.17525166273117065,0.7877271175384521,0.5388780832290649,nan,nan,1048.0,0.8649153604102326,0.2488490343093872,0.2488490343093872,0.2488490343093872,0.2488490343093872
4.0,samplepy_gae_1layer,samplepy_gae,0.92165593027662,10556.0,0.421845406293869,0.8761469387755102,36.0,1.0,512.0,0.0,0.01,4204.0,525.0,526.0,526.0,1052.0,0.8653623733175266,0.24742698669433594,0.24742698669433594,0.24742698669433594,0.24742698669433594,0.1622467041015625,0.1622467041015625,0.7822718620300293,0.5348448753356934,nan,nan,1052.0,0.8653623733175266,0.24742698669433594,0.24742698669433594,0.24742698669433594,0.24742698669433594
5.0,samplepy_gae_1layer,samplepy_gae,0.922697991663509,10556.0,0.4226979911327362,0.8707601584022039,28.0,1.0,512.0,0.1,0.01,4229.0,528.0,530.0,530.0,1060.0,0.8483303666785333,0.2311517596244812,0.2311517596244812,0.2311517596244812,0.2311517596244812,0.1620936393737793,0.1620936393737793,0.7888922691345215,0.5577405095100403,nan,nan,1060.0,0.8483303666785333,0.2311517596244812,0.2311517596244812,0.2311517596244812,0.2311517596244812
6.0,samplepy_gae_1layer,samplepy_gae,0.9179613489958318,10556.0,0.418529748916626,0.8676177189203256,17.0,1.0,512.0,0.0,0.003,4210.0,526.0,527.0,527.0,1054.0,0.8534614678337515,0.281106173992157,0.281106173992157,0.281106173992157,0.281106173992157,0.20407932996749878,0.20407932996749878,0.8038744926452637,0.5227683186531067,nan,nan,1054.0,0.8534614678337515,0.281106173992157,0.281106173992157,0.281106173992157,0.281106173992157
7.0,samplepy_gae_1layer,samplepy_gae,0.9257294429708222,10556.0,0.4262978434562683,0.8805821877423252,25.0,1.0,512.0,0.1,0.01,4235.0,529.0,530.0,530.0,1060.0,0.8387006051975792,0.22750777006149292,0.22750777006149292,0.22750777006149292,0.22750777006149292,0.19642430543899536,0.19642430543899536,0.7998970150947571,0.5723892450332642,nan,nan,1060.0,0.8387006051975792,0.22750777006149292,0.22750777006149292,0.22750777006149292,0.22750777006149292
8.0,samplepy_gae_1layer,samplepy_gae,0.9244979158772262,10556.0,0.42468738555908203,0.8616637081471507,31.0,1.0,512.0,0.0,0.01,4216.0,527.0,528.0,528.0,1056.0,0.8662620523415977,0.2600635886192322,0.2600635886192322,0.2600635886192322,0.2600635886192322,0.19703513383865356,0.19703513383865356,0.8000032305717468,0.5399396419525146,nan,nan,1056.0,0.8662620523415977,0.2600635886192322,0.2600635886192322,0.2600635886192322,0.2600635886192322
9.0,samplepy_gae_1layer,samplepy_gae,0.9205191360363774,10556.0,0.4212769865989685,0.8815020408163265,32.0,1.0,512.0,0.0,0.01,4200.0,525.0,525.0,525.0,1050.0,0.8774095238095238,0.2501490116119385,0.2501490116119385,0.2501490116119385,0.2501490116119385,0.16966122388839722,0.16966122388839722,0.7890828251838684,0.5389338135719299,nan,nan,1050.0,0.8774095238095238,0.2501490116119385,0.2501490116119385,0.2501490116119385,0.2501490116119385
10.0,samplepy_gae_1layer,samplepy_gae,0.9245926487305798,10556.0,0.4249715805053711,0.8762554522497703,15.0,1.0,512.0,0.0,0.003,4226.0,528.0,529.0,529.0,1058.0,0.8690399190969157,0.28320789337158203,0.28320789337158203,0.28320789337158203,0.28320789337158203,0.19576728343963623,0.19576728343963623,0.7931742072105408,0.5099663138389587,nan,nan,1058.0,0.8690399190969157,0.28320789337158203,0.28320789337158203,0.28320789337158203,0.28320789337158203
11.0,samplepy_gae_1layer,samplepy_gae,0.9233611216369838,10556.0,0.4235505759716034,0.8660109618916436,26.0,1.0,512.0,0.2,0.01,4231.0,528.0,530.0,530.0,1060.0,0.8828444286222854,0.2472771406173706,0.2472771406173706,0.2472771406173706,0.2472771406173706,0.17524492740631104,0.17524492740631104,0.7992519736289978,0.5519748330116272,nan,nan,1060.0,0.8828444286222854,0.2472771406173706,0.2472771406173706,0.2472771406173706,0.2472771406173706
